ActorName;Gender;"Actor's default image source"
Rita Hayworth;f;"https://m.media-amazon.com/images/M/MV5BMTQxOTk1NTQ1M15BMl5BanBnXkFtZTcwMjI1MDAwNA@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Margaux Hemingway;f;"https://m.media-amazon.com/images/M/MV5BNmNjYzRlODctNmJkNy00MzNjLTllNmMtY2RkMzRiNGE0NWZmXkEyXkFqcGdeQXVyNTk5NzQ5Ng@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Fred Astaire;m;"https://m.media-amazon.com/images/M/MV5BOTU0NDYzMjA1MF5BMl5BanBnXkFtZTYwMTIzNjM2._V1_UY317_CR22,0,214,317_AL_.jpg"
Lauren Bacall;f;"https://m.media-amazon.com/images/M/MV5BMzg2OTk3MzU0OF5BMl5BanBnXkFtZTYwMzE3MzU2._V1_UY317_CR9,0,214,317_AL_.jpg"
Brigitte Bardot;f;"https://m.media-amazon.com/images/M/MV5BODE1NDkzODExNV5BMl5BanBnXkFtZTYwMzY2NjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
John Belushi;m;"https://m.media-amazon.com/images/M/MV5BMTU5MDcwODczOV5BMl5BanBnXkFtZTYwMTk5NzM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Ingmar Bergman;m;"https://m.media-amazon.com/images/M/MV5BMTc4MjQwMzY0N15BMl5BanBnXkFtZTcwNTI1NTM1MQ@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Ingrid Bergman;f;"https://m.media-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Humphrey Bogart;m;"https://m.media-amazon.com/images/M/MV5BMTIyOTE3MDM5Ml5BMl5BanBnXkFtZTYwMzA2MTM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Marlon Brando;m;"https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY317_CR97,0,214,317_AL_.jpg"
Richard Burton;m;"https://m.media-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_UY317_CR20,0,214,317_AL_.jpg"
James Cagney;m;"https://m.media-amazon.com/images/M/MV5BMTcyNDY5NTgxNV5BMl5BanBnXkFtZTYwNzY4MzQ2._V1_UY317_CR14,0,214,317_AL_.jpg"
Gary Cooper;m;"https://m.media-amazon.com/images/M/MV5BMTUyMjI1MDEyN15BMl5BanBnXkFtZTYwNzkwNjI2._V1_UY317_CR2,0,214,317_AL_.jpg"
Bette Davis;f;"https://m.media-amazon.com/images/M/MV5BMTQ2OTQ4NTU2OF5BMl5BanBnXkFtZTcwMzI3MjY5Ng@@._V1_UY317_CR24,0,214,317_AL_.jpg"
Doris Day;f;"https://m.media-amazon.com/images/M/MV5BMTI4NTQ1MTQwMF5BMl5BanBnXkFtZTYwMzc3ODM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Olivia de Havilland;f;"https://m.media-amazon.com/images/M/MV5BMjA0Njc5Mjk5M15BMl5BanBnXkFtZTYwOTk1MjU2._V1_UY317_CR17,0,214,317_AL_.jpg"
James Dean;m;"https://m.media-amazon.com/images/M/MV5BMTg5NTgzMTkzNl5BMl5BanBnXkFtZTYwMTQwNjI2._V1_UX214_CR0,0,214,317_AL_.jpg"
Marlene Dietrich;f;"https://m.media-amazon.com/images/M/MV5BMTI0NTcyMTM5OF5BMl5BanBnXkFtZTYwOTkzMDU2._V1_UY317_CR18,0,214,317_AL_.jpg"
Kirk Douglas;m;"https://m.media-amazon.com/images/M/MV5BMTc1NDc0MjI5NV5BMl5BanBnXkFtZTYwMDE1MjM2._V1_UY317_CR17,0,214,317_AL_.jpg"
Henry Fonda;m;"https://m.media-amazon.com/images/M/MV5BOTEwNjQ2ODQ4Nl5BMl5BanBnXkFtZTYwMzEwMTM2._V1_UY317_CR20,0,214,317_AL_.jpg"
Fred Astaire;m;"https://m.media-amazon.com/images/M/MV5BOTU0NDYzMjA1MF5BMl5BanBnXkFtZTYwMTIzNjM2._V1_UY317_CR22,0,214,317_AL_.jpg"
Lauren Bacall;f;"https://m.media-amazon.com/images/M/MV5BMzg2OTk3MzU0OF5BMl5BanBnXkFtZTYwMzE3MzU2._V1_UY317_CR9,0,214,317_AL_.jpg"
Brigitte Bardot;f;"https://m.media-amazon.com/images/M/MV5BODE1NDkzODExNV5BMl5BanBnXkFtZTYwMzY2NjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
John Belushi;m;"https://m.media-amazon.com/images/M/MV5BMTU5MDcwODczOV5BMl5BanBnXkFtZTYwMTk5NzM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Ingmar Bergman;m;"https://m.media-amazon.com/images/M/MV5BMTc4MjQwMzY0N15BMl5BanBnXkFtZTcwNTI1NTM1MQ@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Ingrid Bergman;f;"https://m.media-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Humphrey Bogart;m;"https://m.media-amazon.com/images/M/MV5BMTIyOTE3MDM5Ml5BMl5BanBnXkFtZTYwMzA2MTM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Marlon Brando;m;"https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY317_CR97,0,214,317_AL_.jpg"
Richard Burton;m;"https://m.media-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_UY317_CR20,0,214,317_AL_.jpg"
James Cagney;m;"https://m.media-amazon.com/images/M/MV5BMTcyNDY5NTgxNV5BMl5BanBnXkFtZTYwNzY4MzQ2._V1_UY317_CR14,0,214,317_AL_.jpg"
Gary Cooper;m;"https://m.media-amazon.com/images/M/MV5BMTUyMjI1MDEyN15BMl5BanBnXkFtZTYwNzkwNjI2._V1_UY317_CR2,0,214,317_AL_.jpg"
Joan Fontaine;f;"https://m.media-amazon.com/images/M/MV5BMTUwMzk0NjkyMV5BMl5BanBnXkFtZTYwNTUyMjI2._V1_UY317_CR22,0,214,317_AL_.jpg"
Clark Gable;m;"https://m.media-amazon.com/images/M/MV5BMjE1NDY5MjM5Ml5BMl5BanBnXkFtZTYwNTU1OTQ2._V1_UY317_CR15,0,214,317_AL_.jpg"
Judy Garland;f;"https://m.media-amazon.com/images/M/MV5BMTYwMTQ0ODMxNF5BMl5BanBnXkFtZTYwNDY2MjU2._V1_UY317_CR18,0,214,317_AL_.jpg"
John Gielgud;m;"https://m.media-amazon.com/images/M/MV5BMTU4ODc4Mzk1OV5BMl5BanBnXkFtZTYwNDQ0MjQ2._V1_UY317_CR13,0,214,317_AL_.jpg"
Cary Grant;m;"https://m.media-amazon.com/images/M/MV5BNzYyODM4NDU1MV5BMl5BanBnXkFtZTYwMjI1ODM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Alec Guinness;m;"https://m.media-amazon.com/images/M/MV5BMTIxMTA5OTI2M15BMl5BanBnXkFtZTYwNjEwNjU2._V1_UY317_CR16,0,214,317_AL_.jpg"
Rita Hayworth;f;"https://m.media-amazon.com/images/M/MV5BMTQxOTk1NTQ1M15BMl5BanBnXkFtZTcwMjI1MDAwNA@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Margaux Hemingway;f;"https://m.media-amazon.com/images/M/MV5BNmNjYzRlODctNmJkNy00MzNjLTllNmMtY2RkMzRiNGE0NWZmXkEyXkFqcGdeQXVyNTk5NzQ5Ng@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Audrey Hepburn;f;"https://m.media-amazon.com/images/M/MV5BMTM4MTY3NTQyMF5BMl5BanBnXkFtZTYwMTk2MzQ2._V1_UX214_CR0,0,214,317_AL_.jpg"
Katharine Hepburn;f;"https://m.media-amazon.com/images/M/MV5BMTE5NTk4Mjc0OF5BMl5BanBnXkFtZTYwNzI0NDM2._V1_UY317_CR7,0,214,317_AL_.jpg"
Charlton Heston;m;"https://m.media-amazon.com/images/M/MV5BMTcxMDg1MjYzMV5BMl5BanBnXkFtZTYwMDMxOTE2._V1_UX214_CR0,0,214,317_AL_.jpg"
William Holden;m;"https://m.media-amazon.com/images/M/MV5BNzVhMjZiMzItMTIxYi00M2EzLWE0YWMtYTZhODk4NDQ2ZDJmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UY317_CR16,0,214,317_AL_.jpg"
Buster Keaton;m;"https://m.media-amazon.com/images/M/MV5BMTI0MjA4ODk5OF5BMl5BanBnXkFtZTYwNDQyNjI2._V1_UY317_CR12,0,214,317_AL_.jpg"
Gene Kelly;m;"https://m.media-amazon.com/images/M/MV5BMTM3MzIyMDI5Ml5BMl5BanBnXkFtZTYwNzQ2MjU2._V1_UY317_CR7,0,214,317_AL_.jpg"
Grace Kelly;f;"https://m.media-amazon.com/images/M/MV5BMTgzNjI4MzY1NF5BMl5BanBnXkFtZTYwMTM4MzQ2._V1_UY317_CR17,0,214,317_AL_.jpg"
Deborah Kerr;f;"https://m.media-amazon.com/images/M/MV5BMjEwNTAzNTA2MV5BMl5BanBnXkFtZTYwMjUzMzQ2._V1_UY317_CR18,0,214,317_AL_.jpg"
